,clust_num,clust_terms,percent_in_doc
0,0,bill | rajya_sabha | amendment | lok_sabha | opposition | pass | house | government | parliament | speaker | congress | supreme_court | legislation | discussion | concern | debate | aadhaar | disability | service | law | provision | question | mp | jaitley | aadhaar_target_delivery_financial_subsidy | member | introduce | reject | act | benefit | constitution | article | privacy | power | session | arun_jaitley | jairam | leader | right | minister | ,1.3
1,1,consumer | lpg | cylinder | bank_account | link | subsidy | district | aadhaar_number | direct_benefit_transfer | scheme | distributor | bank | petroleum | oil_company | aadhaar_card | lpg_subsidy | customer | seed | aadhaar | market_price | gas | direct_benefit_transfer_scheme | refill | subsidy_amount | dealer | linkage | lpg_dealer | account | domestic | connection | lpg_connection | number | receive | oil | lpg_cylinder | transfer | centre | subsidise | ministry | gas_agency | ,5.01
2,2,party | government | cpi | price | aadhaar_card | subsidy | supply | cylinder | congress | leader | link | city | demand | state | gas_agency | scheme | hike | centre | lpg | lpg_cylinder | cash_transfer_scheme | refill | decision | bank_account | issue | customer | protest | gas | monday | subsidise | kerosene | allege | district | babu | secretary | aadhaar | address | implement | card | policy | ,4.55
3,3,voter | election | electoral_roll | vote | epic | booth | voter_list | polling | constituency | officer | election_commission | polling_station | voting | assembly | district | electoral | candidate | aadhaar_card | link | poll | issue | voter_id_card | number | exercise | commissioner | aadhaar_number | cast | card | aadhaar | photo | collector | document | complete | process | camp | seed | slip | detail | visit | special | ,4.25
4,4,student | school | education | scholarship | candidate | college | child | teacher | aadhaar | class | apply | aadhaar_card | examination | government | department | state | admission | exam | direct | mandatory | online | district | university | conduct | certificate | detail | parent | educational | scheme | test | principal | aid | submit | job | aadhaar_number | ensure | academic | institute | link | application | ,4.51
5,5,farmer | loan | scheme | state | government | crop | district | chief_minister | sector | land | agriculture | worker | centre | programme | minister | project | provide | farm | housing | bank | department | state_government | subsidy | family | aadhaar | fund | implement | debt | benefit | budget | development | issue | financial | amount | work | village | construction | aadhaar_card | direct | plan | ,7.57
6,6,road | post_office | railway | bus | train | traffic | colony | nagar | authority | passenger | resident | city | card | water | aadhaar_card | area | street | ticket | public | centre | near | vehicle | board | airport | issue | number | service | postal | work | corporation | house | office | express | hour | open | complaint | request | government | problem | found | ,8.11
7,7,bank | customer | account | payment | banking | bank_account | branch | district | cash | transaction | deposit | note | service | atm | mobile | rbi | money | facility | aadhaar | manager | currency | machine | digital | village | financial_inclusion | link | scheme | india | open | system | launch | provide | exchange | credit | country | loan | opening | government | help | aadhaar_number | ,8.0
8,8,uidai | aadhaar | enrolment | supreme_court | government | mandatory | bench | aadhaar_card | privacy | unique_identification_authority_india | court | issue | data | centre | aadhaar_number | authority | state | india | scheme | order | person | petition | enrol | service | direct | right_privacy | agency | justice | pan | benefit | link | project | number | law | card | identity | insist | file | population | individual | ,9.83
9,9,police | document | passport | arrest | aadhaar_card | registration | online | vehicle | register | certificate | centre | applicant | detail | case | accuse | drive_licence | application | card | person | verification | district | service | house | submit | process | issue | fake | owner | property | complaint | aadhaar | city | number | obtain | alleged | commissioner | charge | office | woman | launch | ,8.61
10,10,woman | india | work | job | social | indian | city | like | world | digital | help | film | social_medium | foundation | music | technology | country | award | data | internet | mumbai | cable | home | company | waste | aadhaar | village | right | project | state | event | service | start | delhi | community | part | well | different | online | men | ,8.19
11,11,district | pension | beneficiary | ration_card | card | scheme | pensioner | centre | aadhaar_card | aadhaar_number | government | aadhaar | survey | department | issue | link | state | complete | direct | collector | programme | office | detail | data | system | number | minister | work | officer | smart_card | submit | distribution | employee | process | ration | release | public | provide | person | accord | ,16.6
12,12,bill | india | government | scheme | budget | reform | food | country | food_security | state | poor | beneficiary | growth | tax | provide | modi | economic | system | delhi | economy | fiscal | foodgrains | benefit | cash_transfer | family | prime_minister | public | national | policy | indian | act | corruption | household | money | aadhaar | million | well | propose | world | target | ,5.89
13,13,child | college | hospital | camp | school | department | health | art | medical | parent | education | engineering | programme | club | speaks | girl | government | special | student | boy | district | conduct | pudukottai | sport | district_administration | association | centre | aadhaar_card | doctor | mother | workshop | woman | collector | state | national | perambalur | collectorate | celebration | development | engineering_college | ,4.4
14,14,resident | ward | camp | npr | corporation | centre | office | aadhaar_card | registration | direct_census | biometric_data | census | photograph | municipal | operation | district | biometric_detail | enrol | form | city | register | data | slip | national_population_register | process | zone | card | enrolment | issue | chennai | release | biometric | collect | detail | capture | school | collector | taluk_office | permanent | work | ,3.18
