10 topics,
"general - confounded with culture, social media, india", student school child college education department camp health state conduct programme teacher class district special hospital university job medical patient
aadhaar_enrolment_documentation + aadhaar_enrolment_process, centre card detail enrolment issue district number office process registration document resident uidai data aadhaar_number application register passport enrol submit
PDS_Food_security + MNREGA ( Rural employment)+ farmer_subsidy, bank customer digital account service payment transaction banking user system mobile cash note branch money atm launch company mobile_phone facility
Macroeconomy _ tax_GST, road city area railway bus vehicle house work train nagar water family authority resident issue colony due visit police traffic
very general - road/ train / airport / city / ticket, consumer lpg link voter district subsidy bank_account cylinder aadhaar_number election bank price supply customer electoral_roll gas number seed petroleum state
aadhaar_act_parliament / right to privacy / supreme court ruling / fundamental, police delhi party case congress woman award chief_minister arrest national india election state leader candidate mumbai president accuse assembly person
aadhaar_relatd_Crime and  / politics, india work like country world right indian well social project big technology good data part become change problem help poor
general -  education / health / child/ women enrolment / beneficiary of aadhaar, bill supreme_court mandatory issue court order privacy right scheme act state benefit law bench amendment person authority concern public petition
aadhaar_enabled_digital_banking/ cashless transaction, india sector tax country budget growth increase provide economy fund service propose high reform policy act development infrastructure rate economic
LPG / Subsidy / gas /petroleum subsidy, scheme district beneficiary state farmer pension minister system benefit worker state_government account family bank_account programme ensure food household subsidy loan
