,topic,topic_name
0,0,Topic 0: uidai enrolment enrol resident centre project uid data process unique_identification_authority_india card state district biometric npr number population agency cover direct
1,1,Topic 1: police case document arrest house report property complaint found person accuse officer victim survey fake family woman register crime allege
2,2,Topic 2: bill party minister committee issue amendment member parliament lok_sabha house congress rajya_sabha opposition power state centre raise question act demand
3,3,Topic 3: delhi award chief_minister india prime_minister state national president supreme_court launch march gujarat congress indian assembly union kill jan woman present
4,4,Topic 4: student school college education department university class camp teacher state candidate scholarship conduct programme institute job principal child engineering special
5,5,Topic 5: card pension ration_card system employee pensioner post_office office shop ration department district link fair_price_shop smart_card dealer issue supply employer distribute
6,6,Topic 6: centre detail registration passport issue application document submit office certificate card form register camp applicant district apply number officer copy
7,7,Topic 7: india country indian world work like technology good large great change policy become report big think modi money poor system
8,8,Topic 8: child village work health help family woman parent hospital patient member person job social start school like disability worker mother
9,9,Topic 9: scheme beneficiary state poor family benefit household food provide subsidy foodgrains cash_transfer food_security national system cover programme housing identify public_distribution
10,10,Topic 10: mandatory supreme_court court order privacy issue bench petition benefit authority person case right link aadhaar_number justice direct act law right_privacy
11,11,Topic 11: district farmer scheme state beneficiary meeting programme direct minister work loan implement chief_minister worker various panchayat department state_government collector complete
12,12,Topic 12: service data system online digital provide user information database launch access technology company help internet plan mobile detail number country
13,13,Topic 13: bank account customer payment banking cash note transaction money branch atm digital bank_account deposit rbi currency open mobile cable exchange
14,14,Topic 14: consumer lpg link subsidy bank_account cylinder district aadhaar_number scheme bank customer direct_benefit_transfer supply gas price petroleum oil_company receive gas_agency lpg_cylinder
15,15,Topic 15: voter election vote constituency candidate electoral_roll party epic booth state assembly election_commission polling voter_list card polling_station number campaign electoral exercise
16,16,Topic 16: like home right problem end back fact point next well part question work form social_medium different information start matter yet
17,17,Topic 17: sector tax increase budget growth fund market investment propose business company provide rate high fiscal india infrastructure financial income act
18,18,Topic 18: road city bus area nagar water resident authority colony traffic street public house near board corporation vehicle waste due problem
19,19,Topic 19: railway film news final passenger train airport ticket woman sport event result international second feature boy india team city mumbai
